id;"""building""";"""addr_stree""";"""addr_hou_1""";официальное_число_жителей;фактическое_число_жителей;выгода
1537;house;улица Чайковского;19;20;20;0
1538;house;улица Чайковского;43;12;12;0
1539;yes;улица Чайковского;45262;30;30;0
1540;yes;улица Чайковского;45140;13;13;0
1541;house;улица Чайковского;45;12;12;0
1542;house;улица Чайковского;41;24;24;0
1543;house;улица Чайковского;17;27;27;0
1544;house;улица Чайковского;21;18;18;0
1545;house;улица Чайковского;39;14;14;0
1546;house;улица Чайковского;15;7;7;0
1547;apartments;улица Чайковского;45015;8;8;0
1548;apartments;улица Чайковского;45046;20;20;0
1549;apartments;улица Чайковского;45109;25;25;0
1550;yes;улица Чайковского;2А;5;5;0
1551;yes;улица Чайковского;2В;23;23;0
1552;yes;улица Чайковского;2;10;10;0
1553;house;улица Чайковского;101;9;9;0
1554;house;улица Чайковского;99;17;17;0
1555;house;улица Чайковского;93;22;22;0
1556;yes;улица Чайковского;83;11;11;0
1557;yes;улица Чайковского;65;27;27;0
1558;house;улица Чайковского;59;16;16;0
1559;house;улица Чайковского;57;23;23;0
1560;house;улица Чайковского;37;19;19;0
1561;house;улица Чайковского;35;28;28;0
1562;house;улица Чайковского;29;1;1;0
1563;house;улица Чайковского;31;23;23;0
1564;yes;улица Чайковского;32/1к1;10;10;0
1565;yes;улица Чайковского;38А;7;7;0
1566;yes;улица Чайковского;2/7а;18;18;0
1567;yes;улица Чайковского;34А;26;26;0
1568;yes;улица Чайковского;30/2А;19;19;0
1569;yes;улица Чайковского;30/2;24;24;0
1570;house;улица Чайковского;61;16;16;0
1571;house;улица Чехова;73;21;21;0
1572;house;улица Чехова;71;17;17;0
1573;house;улица Чехова;69;24;24;0
1574;house;улица Чехова;75;18;18;0
1575;house;улица Чехова;65;1;1;0
1576;house;улица Чехова;76;1;1;0
1577;house;улица Чехова;74;29;29;0
1578;house;улица Чехова;51;24;24;0
1579;house;улица Чехова;57;0;0;0
1580;house;улица Чехова;55;10;10;0
1581;house;улица Чехова;47;18;18;0
1582;house;улица Чехова;46;0;0;0
1583;yes;улица Чехова;56;25;25;0
1584;house;улица Чехова;49;13;13;0
1585;house;улица Чехова;67;14;14;0
1586;house;улица Чехова;54;10;10;0
1587;yes;улица Чехова;58;14;14;0
1588;house;улица Чехова;52;8;8;0
1589;house;улица Чехова;63;30;30;0
1590;yes;улица Чехова;30;19;19;0
1591;house;улица Чехова;36;16;16;0
1592;house;улица Чехова;32;17;17;0
1593;house;улица Чехова;22;27;27;0
1594;house;улица Чехова;38;12;12;0
1595;house;улица Чехова;44;6;6;0
1596;house;улица Чехова;34;26;26;0
1597;yes;улица Чехова;46;0;0;0
1598;house;улица Чехова;50;28;28;0
1599;house;улица Чехова;53/2;11;11;0
1600;house;улица Чехова;28;16;16;0
1601;yes;улица Чехова;35;23;23;0
1602;house;улица Чехова;60;6;6;0
1603;apartments;улица Чехова;37;17;17;0
1604;house;улица Чехова;40;22;22;0
1605;yes;улица Чехова;70/1;14;14;0
1606;house;улица Чехова;53;25;25;0
1607;house;улица Чехова;42;6;6;0
1608;house;улица Чехова;48;30;30;0
1609;house;улица Чехова;54/1;19;19;0
1610;apartments;улица Чехова;77;12;12;0
1611;apartments;улица Шевченко;44930;14;14;0
1612;apartments;улица Шевченко;6;22;22;0
1613;apartments;улица Шевченко;3А;3;3;0
1614;apartments;улица Шевченко;1;20;20;0
1615;apartments;улица Шевченко;4;1;1;0
1616;apartments;улица Шевченко;44928;13;13;0
1617;apartments;улица Шевченко;2;24;24;0
1618;yes;улица Шевченко;8;6;6;0
1619;apartments;улица Шевченко;5;25;25;0
1620;apartments;улица Шевченко;5;18;18;0
1621;apartments;улица Широких-Полянских;7;5;5;0
1622;yes;улица Широких-Полянских;9Б;3;3;0
1623;apartments;улица Широких-Полянских;44931;27;27;0
1624;apartments;улица Широких-Полянских;13;18;18;0
1625;apartments;улица Широких-Полянских;11;2;2;0
1626;apartments;улица Широких-Полянских;44933;21;21;0
1627;apartments;улица Широких-Полянских;12;24;24;0
1628;apartments;улица Широких-Полянских;44962;3;3;0
1629;apartments;улица Широких-Полянских;10;19;19;0
1630;apartments;улица Широких-Полянских;5;1;1;0
1631;apartments;улица Широких-Полянских;44994;18;18;0
1632;house;улица Широких-Полянских;8А;17;17;0
1633;apartments;улица Широких-Полянских;44935;25;25;0
1634;yes;улица Широких-Полянских;9В;15;15;0
1635;apartments;улица Широких-Полянских;9;0;0;0
1636;apartments;улица Широких-Полянских;44968;27;27;0
1637;apartments;улица Широких-Полянских;8;7;7;0
1638;apartments;улица Широких-Полянских;15;6;6;0
1639;apartments;улица Широких-Полянских;3;8;8;0
1640;apartments;улица Широких-Полянских;44966;20;20;0
1641;house;улица Широких-Полянских;44965;18;18;0
1642;apartments;улица Широких-Полянских;1;8;8;0
1643;yes;улица Якова Потапова;4А;27;27;0
1644;apartments;улица Якова Потапова;5;12;12;0
1645;apartments;улица Якова Потапова;17;5;5;0
1646;apartments;улица Якова Потапова;3;10;10;0
1647;apartments;улица Якова Потапова;9;26;26;0
1648;apartments;улица Якова Потапова;6;15;15;0
1649;apartments;улица Якова Потапова;44929;5;5;0
1650;apartments;улица Якова Потапова;19;8;8;0
1651;apartments;улица Якова Потапова;5;26;26;0
1652;apartments;улица Якова Потапова;44942;25;25;0
1653;apartments;улица Якова Потапова;44945;6;6;0
1654;apartments;улица Якова Потапова;44932;28;28;0
1655;apartments;улица Якова Потапова;13;9;9;0
1656;apartments;улица Якова Потапова;14;10;10;0
1657;apartments;улица Якова Потапова;8;25;25;0
1658;apartments;улица Якова Потапова;44943;9;9;0
1659;apartments;улица Якова Потапова;7;7;7;0
1660;apartments;улица Якова Потапова;44995;4;4;0
1661;apartments;улица Якова Потапова;44937;6;6;0
1662;apartments;улица Якова Потапова;44967;0;0;0
1663;apartments;улица Якова Потапова;44933;24;24;0
1664;apartments;улица Якова Потапова;44941;17;17;0
1665;yes;улица Якова Потапова;1;5;5;0
1666;apartments;улица Якова Потапова;16;16;16;0
1667;apartments;улица Якова Потапова;18;3;3;0
1668;yes;улица Якова Потапова;44938;0;0;0
1669;yes;улица Якова Потапова;14А;10;10;0
1670;house;улица Якова Потапова;14/2 к2;23;23;0
1671;house;улица Якова Потапова;14/1 к1;19;19;0
1672;yes;улица Якова Потапова;11В;27;27;0
1673;yes;улица Якова Потапова;1 к1;2;2;0
1674;residential;улица Якова Потапова;45059;13;13;0
1675;yes;улица Якова Потапова;44971;7;7;0
1676;yes;улица Якова Потапова;44940;19;19;0
1677;apartments;улица Якова Потапова;44934;5;5;0
1678;yes;улица Якова Потапова;20;7;7;0
1679;yes;улица Якова Потапова;14В;25;25;0
1680;residential;улица Якова Потапова;44953;15;15;0
1681;yes;улица Якова Потапова;44936;5;5;0
1682;yes;улица Якова Потапова;6А;18;18;0
1683;yes;;;14;14;0
1684;yes;;;30;30;0
1685;yes;;;2;2;0
1686;yes;;;12;12;0
1687;yes;;;11;11;0
1688;yes;;;16;16;0
1689;yes;;;3;3;0
1690;yes;;;17;17;0
1691;yes;;;2;2;0
1692;yes;;;17;17;0
1693;yes;;;3;3;0
1694;yes;;;21;21;0
1695;yes;;;23;23;0
1696;yes;;;17;17;0
1697;yes;;;6;6;0
1698;yes;;;28;28;0
1699;yes;;;22;22;0
1700;yes;;;2;2;0
1701;yes;;;4;4;0
1702;yes;;;12;12;0
1703;yes;;;24;24;0
1704;yes;;;17;17;0
1705;yes;;;22;22;0
1706;yes;;;15;15;0
1707;yes;;;1;1;0
1708;yes;;;29;29;0
1709;yes;;;20;20;0
1710;yes;;;12;12;0
1711;yes;;;11;11;0
1712;yes;;;13;13;0
1713;yes;;;15;15;0
1714;yes;;;18;18;0
1715;yes;;;1;1;0
1716;yes;;;21;21;0
1717;yes;;;9;9;0
1718;yes;;;0;0;0
1719;yes;;;9;9;0
1720;yes;;;19;19;0
1721;yes;;;16;16;0
1722;yes;;;19;19;0
1723;yes;;;16;16;0
1724;yes;;;26;26;0
1725;yes;;;14;14;0
1726;yes;;;10;10;0
1727;yes;;;23;23;0
1728;yes;;;16;16;0
1729;yes;;;27;27;0
1730;yes;;;18;18;0
1731;yes;;;9;9;0
1732;yes;;;27;27;0
1733;yes;;;11;11;0
1734;yes;;;25;25;0
1735;yes;;;26;26;0
1736;yes;;;27;27;0
1737;yes;;;2;2;0
1738;yes;;;14;14;0
1739;yes;;;25;25;0
1740;yes;;;30;30;0
1741;yes;;;26;26;0
1742;yes;;;16;16;0
1743;yes;;;19;19;0
1744;yes;;;23;23;0
1745;yes;;;3;3;0
1746;yes;;;11;11;0
1747;yes;;;17;17;0
1748;yes;;;14;14;0
1749;yes;;;8;8;0
1750;yes;;;27;27;0
1751;yes;;;17;17;0
1752;yes;;;0;0;0
1753;yes;;;28;28;0
1754;yes;;;21;21;0
1755;yes;;;25;25;0
1756;yes;;;11;11;0
1757;yes;;;27;27;0
1758;yes;;;1;1;0
1759;yes;;;0;0;0
1760;yes;;;23;23;0
1761;yes;;;6;6;0
1762;yes;;;6;6;0
1763;yes;;;10;10;0
1764;yes;;;5;5;0
1765;yes;;;0;0;0
1766;yes;;;17;17;0
1767;yes;;;22;22;0
1768;yes;;;23;23;0
1769;yes;;;30;30;0
1770;yes;;;16;16;0
1771;yes;;;21;21;0
1772;yes;;;17;17;0
1773;yes;;;17;17;0
1774;yes;;;13;13;0
1775;yes;;;9;9;0
1776;yes;;;29;29;0
1777;yes;;;14;14;0
1778;yes;;;6;6;0
1779;yes;;;30;30;0
1780;yes;;;16;16;0
1781;yes;;;16;16;0
1782;yes;;;12;12;0
1783;yes;;;3;3;0
1784;yes;;;21;21;0
1785;yes;;;6;6;0
1786;yes;;;28;28;0
1787;yes;;;0;0;0
1788;yes;;;11;11;0
1789;yes;;;22;22;0
1790;yes;;;18;18;0
1791;yes;;;12;12;0
1792;yes;;;25;25;0
1793;yes;;;0;0;0
1794;yes;;;10;10;0
1795;yes;;;27;27;0
1796;yes;;;4;4;0
1797;yes;;;4;4;0
1798;house;;;20;20;0
1799;yes;;;28;28;0
1800;yes;;;13;13;0
1801;yes;;;2;2;0
1802;yes;;;22;22;0
1803;yes;;;20;20;0
1804;yes;;;26;26;0
1805;yes;;;16;16;0
1806;yes;;;3;3;0
1807;yes;;;1;1;0
1808;yes;;;15;15;0
1809;yes;;;29;29;0
1810;yes;;;17;17;0
1811;yes;;;23;23;0
1812;yes;;;18;18;0
1813;yes;;;21;21;0
1814;yes;;;6;6;0
1815;yes;;;10;10;0
1816;yes;;;28;28;0
1817;yes;;;29;29;0
1818;yes;;;4;4;0
1819;yes;;;1;1;0
1820;yes;;;1;1;0
1821;yes;;;3;3;0
1822;yes;;;14;14;0
1823;yes;;;29;29;0
1824;yes;;;12;12;0
1825;yes;;;16;16;0
1826;yes;;;23;23;0
1827;yes;;;13;13;0
1828;yes;;;22;22;0
1829;yes;;;28;28;0
1830;yes;;;5;5;0
1831;yes;;;5;5;0
1832;yes;;;3;3;0
1833;yes;;;12;12;0
1834;yes;;;16;16;0
1835;yes;;;15;15;0
1836;yes;;;29;29;0
1837;yes;;;12;12;0
1838;yes;;;10;10;0
1839;yes;;;22;22;0
1840;yes;;;11;11;0
1841;yes;;;1;1;0
1842;yes;;;23;23;0
1843;yes;;;6;6;0
1844;yes;;;2;2;0
1845;yes;;;24;24;0
1846;yes;;;29;29;0
1847;yes;;;25;25;0
1848;yes;;;13;13;0
1849;yes;;;21;21;0
1850;yes;;;5;5;0
1851;yes;;;29;29;0
1852;yes;;;12;12;0
1853;yes;;;20;20;0
1854;yes;;;14;14;0
1855;yes;;;5;5;0
1856;yes;;;25;25;0
1857;yes;;;6;6;0
1858;yes;;;13;13;0
1859;yes;;;22;22;0
1860;yes;;;5;5;0
1861;yes;;;9;9;0
1862;yes;;;11;11;0
1863;yes;;;16;16;0
1864;yes;;;23;23;0
1865;yes;;;21;21;0
1866;yes;;;10;10;0
1867;yes;;;6;6;0
1868;yes;;;28;28;0
1869;yes;;;13;13;0
1870;yes;;;6;6;0
1871;yes;;;14;14;0
1872;yes;;;10;10;0
1873;yes;;;30;30;0
1874;yes;;;2;2;0
1875;yes;;;23;23;0
1876;yes;;;29;29;0
1877;yes;;;4;4;0
1878;yes;;;25;25;0
1879;yes;;;3;3;0
1880;yes;;;29;29;0
1881;yes;;;10;10;0
1882;yes;;;7;7;0
1883;yes;;;18;18;0
1884;yes;;;1;1;0
1885;yes;;;30;30;0
1886;yes;;;20;20;0
1887;yes;;;10;10;0
1888;yes;;;9;9;0
1889;yes;;;8;8;0
1890;yes;;;20;20;0
1891;yes;;;26;26;0
1892;yes;;;3;3;0
1893;yes;;;12;12;0
1894;yes;;;24;24;0
1895;yes;;;19;19;0
1896;yes;;;30;30;0
1897;yes;;;4;4;0
1898;yes;;;17;17;0
1899;yes;;;18;18;0
1900;yes;;;15;15;0
1901;yes;;;8;8;0
1902;yes;;;4;4;0
1903;yes;;;12;12;0
1904;yes;;;4;4;0
1905;yes;;;11;11;0
1906;yes;;;4;4;0
1907;yes;;;8;8;0
1908;yes;;;16;16;0
1909;yes;;;7;7;0
1910;yes;;;23;23;0
1911;yes;;;23;23;0
1912;yes;;;24;24;0
1913;yes;;;11;11;0
1914;yes;;;10;10;0
1915;yes;;;12;12;0
1916;yes;;;6;6;0
1917;yes;;;25;25;0
1918;yes;;;16;16;0
1919;yes;;;29;29;0
1920;yes;;;30;30;0
1921;yes;;;0;0;0
1922;yes;;;3;3;0
1923;yes;;;14;14;0
1924;yes;;;9;9;0
1925;yes;;;26;26;0
1926;yes;;;7;7;0
1927;yes;;;24;24;0
1928;yes;;;12;12;0
1929;yes;;;11;11;0
1930;yes;;;25;25;0
1931;yes;;;6;6;0
1932;yes;;;10;10;0
1933;yes;;;30;30;0
1934;yes;;;19;19;0
1935;yes;;;23;23;0
1936;yes;;;0;0;0
1937;yes;;;10;10;0
1938;yes;;;1;1;0
1939;yes;;;28;28;0
1940;yes;;;21;21;0
1941;yes;;;29;29;0
1942;yes;;;14;14;0
1943;yes;;;0;0;0
1944;yes;;;5;5;0
1945;yes;;;4;4;0
1946;yes;;;8;8;0
1947;yes;;;5;5;0
1948;yes;;;15;15;0
1949;yes;;;13;13;0
1950;yes;;;7;7;0
1951;yes;;;9;9;0
1952;yes;;;2;2;0
1953;yes;;;19;19;0
1954;yes;;;6;6;0
1955;yes;;;0;0;0
1956;yes;;;7;7;0
1957;yes;;;24;24;0
1958;yes;;;3;3;0
1959;yes;;;1;1;0
1960;yes;;;23;23;0
1961;yes;;;12;12;0
1962;yes;;;13;13;0
1963;yes;;;25;25;0
1964;yes;;;11;11;0
1965;yes;;;2;2;0
1966;yes;;;23;23;0
1967;yes;;;28;28;0
1968;yes;;;17;17;0
1969;yes;;;22;22;0
1970;yes;;;26;26;0
1971;yes;;;19;19;0
1972;yes;;;24;24;0
1973;yes;;;19;19;0
1974;yes;;;27;27;0
1975;yes;;;28;28;0
1976;yes;;;26;26;0
1977;yes;;;28;28;0
1978;yes;;;14;14;0
1979;yes;;;18;18;0
1980;yes;;;29;29;0
1981;yes;;;19;19;0
1982;yes;;;30;30;0
1983;yes;;;29;29;0
1984;yes;;;28;28;0
1985;yes;;;9;9;0
1986;yes;;;30;30;0
1987;yes;;;26;26;0
1988;yes;;;9;9;0
1989;yes;;;28;28;0
1990;yes;;;3;3;0
1991;yes;;;26;26;0
1992;yes;;;11;11;0
1993;yes;;;18;18;0
1994;yes;;;20;20;0
1995;yes;;;0;0;0
1996;yes;;;28;28;0
1997;yes;;;8;8;0
1998;yes;;;23;23;0
1999;yes;;;6;6;0
2000;yes;;;19;19;0
2001;yes;;;5;5;0
2002;yes;;;26;26;0
2003;yes;;;28;28;0
2004;yes;;;25;25;0
2005;yes;;;22;22;0
2006;yes;;;13;13;0
2007;yes;;;14;14;0
2008;yes;;;1;1;0
2009;yes;;;24;24;0
2010;yes;;;12;12;0
2011;yes;;;27;27;0
2012;yes;;;4;4;0
2013;yes;;;24;24;0
2014;yes;;;24;24;0
2015;yes;;;20;20;0
2016;yes;;;3;3;0
2017;yes;;;12;12;0
2018;yes;;;6;6;0
2019;yes;;;25;25;0
2020;yes;;;20;20;0
2021;yes;;;21;21;0
2022;yes;;;24;24;0
2023;yes;;;7;7;0
2024;yes;;;26;26;0
2025;yes;;;3;3;0
2026;yes;;;28;28;0
2027;yes;;;8;8;0
2028;yes;;;28;28;0
2029;yes;;;4;4;0
2030;yes;;;10;10;0
2031;yes;;;10;10;0
2032;yes;;;11;11;0
2033;yes;;;5;5;0
2034;yes;;;26;26;0
2035;yes;;;18;18;0
2036;yes;;;2;2;0
2037;yes;;;20;20;0
2038;yes;;;6;6;0
2039;yes;;;6;6;0
2040;yes;;;0;0;0
2041;yes;;;18;18;0
2042;yes;;;12;12;0
2043;yes;;;14;14;0
2044;yes;;;9;9;0
2045;yes;;;16;16;0
2046;yes;;;10;10;0
2047;yes;;;22;22;0
2048;yes;;;20;20;0
2049;yes;;;9;9;0
2050;yes;;;3;3;0
2051;yes;;;14;14;0
2052;yes;;;12;12;0
2053;yes;;;5;5;0
2054;yes;;;3;3;0
2055;yes;;;6;6;0
2056;yes;;;13;13;0
2057;yes;;;26;26;0
2058;yes;;;9;9;0
2059;yes;;;4;4;0
2060;yes;;;15;15;0
2061;yes;;;4;4;0
2062;yes;;;28;28;0
2063;yes;;;9;9;0
2064;yes;;;10;10;0
2065;yes;;;30;30;0
2066;yes;;;26;26;0
2067;yes;;;23;23;0
2068;yes;;;28;28;0
2069;yes;;;4;4;0
2070;yes;;;27;27;0
2071;yes;;;2;2;0
2072;yes;;;15;15;0
2073;yes;;;3;3;0
2074;yes;;;16;16;0
2075;yes;;;19;19;0
2076;yes;;;27;27;0
2077;yes;;;27;27;0
2078;yes;;;25;25;0
2079;yes;;;28;28;0
2080;yes;;;1;1;0
2081;yes;;;6;6;0
2082;yes;;;11;11;0
2083;yes;;;14;14;0
2084;yes;;;2;2;0
2085;yes;;;5;5;0
2086;yes;;;25;25;0
2087;yes;;;13;13;0
2088;yes;;;28;28;0
2089;yes;;;16;16;0
2090;yes;;;0;0;0
2091;yes;;;11;11;0
2092;yes;;;28;28;0
2093;yes;;;22;22;0
2094;yes;;;17;17;0
2095;yes;;;28;28;0
2096;yes;;;23;23;0
2097;yes;;;9;9;0
2098;yes;;;12;12;0
2099;yes;;;13;13;0
2100;yes;;;24;24;0
2101;yes;;;12;12;0
2102;yes;;;5;5;0
2103;yes;;;21;21;0
2104;yes;;;11;11;0
2105;yes;;;10;10;0
2106;yes;;;1;1;0
2107;yes;;;7;7;0
2108;yes;;;10;10;0
2109;yes;;;5;5;0
2110;yes;;;1;1;0
2111;yes;;;21;21;0
2112;yes;;;27;27;0
2113;yes;;;26;26;0
2114;yes;;;12;12;0
2115;yes;;;3;3;0
2116;yes;;;22;22;0
2117;yes;;;0;0;0
2118;yes;;;0;0;0
2119;yes;;;21;21;0
2120;yes;;;3;3;0
2121;yes;;;13;13;0
2122;yes;;;23;23;0
2123;yes;;;16;16;0
2124;yes;;;9;9;0
2125;yes;;;21;21;0
2126;yes;;;0;0;0
2127;yes;;;12;12;0
2128;yes;;;8;8;0
2129;yes;;;21;21;0
2130;yes;;;7;7;0
2131;yes;;;13;13;0
2132;yes;;;21;21;0
2133;yes;;;29;29;0
2134;yes;;;5;5;0
2135;yes;;;0;0;0
2136;yes;;;19;19;0
2137;yes;;;8;8;0
2138;yes;;;24;24;0
2139;yes;;;2;2;0
2140;yes;;;15;15;0
2141;yes;;;2;2;0
2142;yes;;;15;15;0
2143;yes;;;3;3;0
2144;yes;;;18;18;0
2145;yes;;;15;15;0
2146;yes;;;15;15;0
2147;yes;;;27;27;0
2148;yes;;;20;20;0
2149;yes;;;5;5;0
2150;yes;;;14;14;0
2151;yes;;;4;4;0
2152;yes;;;29;29;0
2153;yes;;;14;14;0
2154;yes;;;11;11;0
2155;yes;;;21;21;0
2156;yes;;;26;26;0
2157;yes;;;18;18;0
2158;yes;;;1;1;0
2159;yes;;;26;26;0
2160;yes;;;8;8;0
2161;yes;;;13;13;0
2162;yes;;;27;27;0
2163;yes;;;23;23;0
2164;yes;;;8;8;0
2165;yes;;;17;17;0
2166;yes;;;9;9;0
2167;yes;;;4;4;0
2168;yes;;;28;28;0
2169;yes;;;15;15;0
2170;yes;;;30;30;0
2171;yes;;;13;13;0
2172;yes;;;15;15;0
2173;yes;;;30;30;0
2174;yes;;;28;28;0
2175;yes;;;28;28;0
2176;yes;;;25;25;0
2177;yes;;;11;11;0
2178;yes;;;22;22;0
2179;yes;;;18;18;0
2180;yes;;;30;30;0
2181;yes;;;11;11;0
2182;yes;;;17;17;0
2183;yes;;;18;18;0
2184;yes;;;9;9;0
2185;yes;;;4;4;0
2186;yes;;;1;1;0
2187;yes;;;2;2;0
2188;yes;;;0;0;0
2189;yes;;;30;30;0
2190;yes;;;23;23;0
2191;yes;;;26;26;0
2192;yes;;;7;7;0
2193;yes;;;7;7;0
2194;yes;;;16;16;0
2195;yes;;;28;28;0
2196;yes;;;13;13;0
2197;yes;;;16;16;0
2198;yes;;;4;4;0
2199;yes;;;11;11;0
2200;yes;;;1;1;0
2201;yes;;;8;8;0
2202;yes;;;12;12;0
2203;yes;;;5;5;0
2204;yes;;;23;23;0
2205;yes;;;1;1;0
2206;yes;;;7;7;0
2207;yes;;;19;19;0
2208;yes;;;17;17;0
2209;yes;;;25;25;0
2210;yes;;;26;26;0
2211;yes;;;1;1;0
2212;yes;;;20;20;0
2213;yes;;;30;30;0
2214;yes;;;5;5;0
2215;yes;;;5;5;0
2216;yes;;;8;8;0
2217;yes;;;23;23;0
2218;yes;;;21;21;0
2219;yes;;;4;4;0
2220;yes;;;24;24;0
2221;yes;;;28;28;0
2222;yes;;;4;4;0
2223;yes;;;2;2;0
2224;yes;;;18;18;0
2225;yes;;;19;19;0
2226;yes;;;26;26;0
2227;yes;;;17;17;0
2228;yes;;;22;22;0
2229;yes;;;6;6;0
2230;yes;;;29;29;0
2231;yes;;;2;2;0
2232;yes;;;15;15;0
2233;yes;;;21;21;0
2234;yes;;;2;2;0
2235;yes;;;18;18;0
2236;yes;;;11;11;0
2237;yes;;;20;20;0
2238;yes;;;13;13;0
2239;yes;;;24;24;0
2240;yes;;;22;22;0
2241;yes;;;10;10;0
2242;yes;;;10;10;0
2243;yes;;;18;18;0
2244;yes;;;20;20;0
2245;yes;;;29;29;0
2246;yes;;;11;11;0
2247;yes;;;9;9;0
2248;yes;;;24;24;0
2249;yes;;;25;25;0
2250;yes;;;27;27;0
2251;yes;;;9;9;0
2252;yes;;;6;6;0
2253;yes;;;13;13;0
2254;yes;;;18;18;0
2255;yes;;;1;1;0
2256;yes;;;10;10;0
2257;yes;;;27;27;0
2258;yes;;;20;20;0
2259;yes;;;15;15;0
2260;yes;;;7;7;0
2261;yes;;;29;29;0
2262;yes;;;24;24;0
2263;yes;;;9;9;0
2264;yes;;;20;20;0
2265;yes;;;22;22;0
2266;yes;;;28;28;0
2267;yes;;;29;29;0
2268;yes;;;14;14;0
2269;yes;;;3;3;0
2270;yes;;;15;15;0
2271;yes;;;22;22;0
2272;yes;;;17;17;0
2273;yes;;;5;5;0
2274;yes;;;25;25;0
2275;yes;;;1;1;0
2276;yes;;;1;1;0
2277;yes;;;29;29;0
2278;yes;;;27;27;0
2279;yes;;;4;4;0
2280;yes;;;16;16;0
2281;yes;;;9;9;0
2282;yes;;;10;10;0
2283;yes;;;9;9;0
2284;yes;;;14;14;0
2285;yes;;;2;2;0
2286;yes;;;0;0;0
2287;yes;;;3;3;0
2288;yes;;;23;23;0
2289;yes;;;30;30;0
2290;yes;;;14;14;0
2291;yes;;;28;28;0
2292;yes;;;18;18;0
2293;yes;;;17;17;0
2294;yes;;;23;23;0
2295;yes;;;10;10;0
2296;yes;;;25;25;0
2297;yes;;;0;0;0
2298;yes;;;11;11;0
2299;yes;;;7;7;0
2300;yes;;;25;25;0
2301;yes;;;28;28;0
2302;yes;;;30;30;0
2303;yes;;;23;23;0
2304;yes;;;10;10;0
2305;yes;;;20;20;0
2306;yes;;;8;8;0
2307;yes;;;22;22;0
2308;yes;;;27;27;0
2309;yes;;;25;25;0
2310;yes;;;29;29;0
2311;yes;;;6;6;0
2312;yes;;;22;22;0
2313;yes;;;18;18;0
2314;yes;;;11;11;0
2315;yes;;;7;7;0
2316;yes;;;7;7;0
2317;yes;;;20;20;0
2318;yes;;;17;17;0
2319;yes;;;16;16;0
2320;yes;;;15;15;0
2321;yes;;;19;19;0
2322;yes;;;28;28;0
2323;yes;;;29;29;0
2324;yes;;;26;26;0
2325;yes;;;18;18;0
2326;yes;;;3;3;0
2327;yes;;;5;5;0
2328;yes;;;5;5;0
2329;yes;;;22;22;0
2330;yes;;;26;26;0
2331;yes;;;11;11;0
2332;yes;;;11;11;0
2333;yes;;;30;30;0
2334;yes;;;8;8;0
2335;yes;;;16;16;0
2336;yes;;;26;26;0
2337;yes;;;30;30;0
2338;yes;;;4;4;0
2339;yes;;;0;0;0
2340;yes;;;16;16;0
2341;yes;;;21;21;0
2342;yes;;;24;24;0
2343;yes;;;1;1;0
2344;yes;;;17;17;0
2345;yes;;;15;15;0
2346;yes;;;25;25;0
2347;yes;;;4;4;0
2348;house;;;29;29;0
2349;yes;;;24;24;0
2350;yes;;;5;5;0
2351;yes;;;16;16;0
2352;yes;;;2;2;0
2353;yes;;;0;0;0
2354;yes;;;5;5;0
2355;yes;;;10;10;0
2356;yes;;;25;25;0
2357;yes;;;29;29;0
2358;yes;;;14;14;0
2359;yes;;;3;3;0
2360;yes;;;24;24;0
2361;yes;;;10;10;0
2362;yes;;;5;5;0
2363;yes;;;19;19;0
2364;yes;;;13;13;0
2365;yes;;;10;10;0
2366;yes;;;13;13;0
2367;yes;;;1;1;0
2368;yes;;;22;22;0
2369;yes;;;7;7;0
2370;yes;;;13;13;0
2371;yes;;;29;29;0
2372;yes;;;17;17;0
2373;yes;;;7;7;0
2374;yes;;;21;21;0
2375;yes;;;1;1;0
2376;yes;;;7;7;0
2377;yes;;;21;21;0
2378;yes;;;21;21;0
2379;yes;;;1;1;0
2380;yes;;;3;3;0
2381;yes;;;22;22;0
2382;yes;;;23;23;0
2383;yes;;;25;25;0
2384;yes;;;20;20;0
2385;yes;;;20;20;0
2386;yes;;;17;17;0
2387;yes;;;15;15;0
2388;yes;;;3;3;0
2389;yes;;;14;14;0
2390;yes;;;22;22;0
2391;yes;;;4;4;0
2392;yes;;;25;25;0
2393;yes;;;13;13;0
2394;yes;;;14;14;0
2395;yes;;;0;0;0
2396;yes;;;26;26;0
2397;yes;;;10;10;0
2398;yes;;;1;1;0
2399;yes;;;25;25;0
2400;yes;;;11;11;0
2401;yes;;;21;21;0
2402;yes;;;8;8;0
2403;yes;;;5;5;0
2404;yes;;;12;12;0
2405;yes;;;5;5;0
2406;yes;;;5;5;0
2407;yes;;;28;28;0
2408;yes;;;11;11;0
2409;yes;;;5;5;0
2410;yes;;;13;13;0
2411;yes;;;19;19;0
2412;yes;;;14;14;0
2413;yes;;;29;29;0
2414;yes;;;10;10;0
2415;yes;;;25;25;0
2416;yes;;;16;16;0
2417;yes;;;13;13;0
2418;yes;;;10;10;0
2419;yes;;;7;7;0
2420;yes;;;13;13;0
2421;yes;;;12;12;0
2422;yes;;;23;23;0
2423;yes;;;20;20;0
2424;yes;;;3;3;0
2425;yes;;;6;6;0
2426;yes;;;4;4;0
2427;yes;;;4;4;0
2428;yes;;;27;27;0
2429;yes;;;10;10;0
2430;yes;;;28;28;0
2431;yes;;;9;9;0
2432;yes;;;17;17;0
2433;yes;;;16;16;0
2434;yes;;;26;26;0
2435;yes;;;4;4;0
